41.92,45.67,48.84,44.31
42.85,44.23,49.76,45.48
41.36,46.19,47.53,42.96
43.44,43.81,50.21,46.07
42.15,46.72,48.39,43.54
41.78,44.95,49.14,45.72
43.09,43.46,47.88,42.19
42.61,45.37,50.52,46.43
41.24,46.51,48.65,44.08
43.71,44.04,49.47,45.16
42.38,43.79,47.32,42.85
41.55,45.83,50.09,46.27
43.26,46.34,48.17,43.92
42.94,44.68,49.93,45.59
41.06,43.22,47.69,42.41
43.58,45.14,48.96,46.75
42.47,46.89,49.35,44.62
41.83,43.97,50.41,43.18
43.17,44.52,47.74,45.94
42.02,46.05,48.48,42.67
41.49,45.41,49.63,44.85
43.63,43.38,50.12,46.33
42.74,44.76,47.25,43.71
41.67,46.47,48.72,45.30
43.32,45.92,49.08,42.24
42.29,43.61,50.34,46.58
41.18,44.35,47.91,44.16
43.80,46.20,48.26,45.03
42.56,43.90,49.55,42.99
41.97,45.54,50.61,46.12
