1,41.26,46.83,49.12,43.75
1,43.59,44.17,47.36,45.92
1,42.71,45.24,50.88,42.61
1,40.93,47.55,48.25,44.86
1,43.18,43.69,49.73,46.29
1,42.05,46.31,47.64,41.97
1,41.64,44.82,50.31,45.13
1,43.72,43.28,48.69,43.45
1,42.39,45.96,47.18,46.72
1,41.07,46.43,49.95,42.38
1,43.41,44.01,48.06,45.64
1,42.85,43.52,50.54,44.21
1,41.52,46.77,47.83,46.08
1,43.04,45.19,49.37,42.94
1,42.17,44.65,48.42,45.36
1,40.81,46.22,50.16,43.89
2,42.63,45.74,48.35,44.91
2,41.48,43.92,50.67,46.15
2,43.95,46.18,47.72,42.47
2,42.27,44.36,49.04,45.83
2,41.86,47.05,48.11,43.26
2,43.34,43.71,50.29,46.52
2,42.91,45.48,47.46,41.84
2,41.13,46.62,49.58,44.57
2,43.68,44.25,48.79,45.22
2,42.54,43.17,50.43,42.76
2,41.75,45.99,47.95,46.38
2,43.12,46.41,49.26,43.65
2,42.08,44.87,48.54,45.01
2,41.39,43.64,50.07,41.93
2,43.47,45.33,47.28,44.79
2,42.79,46.90,49.81,46.64
